caseid,feelings_life,place_birth_canada,citizenship_status,aboriginal,vis_minority,marital_status,education,self_rated_health,self_rated_mental_health,income_family,income_respondent,number_total_children_intention,is_male
18392,9,Born in Canada,By birth,No,Not a visible minority,Separated,2,Good,4,"Less than $25,000","Less than $25,000",NA,1
18393,8,Born outside Canada,NA,NA,Not a visible minority,"Single, never married",7,Very good,4,"$75,000 to $99,999","$75,000 to $99,999",2,1
18394,10,Born in Canada,By birth,Yes,Not a visible minority,"Single, never married",1,Good,3,"$25,000 to $49,999","Less than $25,000",2,1
18395,8,Born in Canada,By birth,No,Not a visible minority,Married,4,Good,3,"$25,000 to $49,999","Less than $25,000",NA,1
18396,9,Born in Canada,By birth,No,Not a visible minority,Divorced,3,Excellent,5,"Less than $25,000","Less than $25,000",NA,0
18397,9,Born in Canada,By birth,No,Not a visible minority,Married,3,Good,3,"$50,000 to $74,999","$25,000 to $49,999",NA,1
18398,10,Born outside Canada,By naturalization,NA,Visible minority,Married,3,Very good,4,"$125,000 and more","$75,000 to $99,999",NA,1
18399,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Good,3,"$100,000 to $ 124,999","$100,000 to $ 124,999",NA,1
18400,10,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,3,"$125,000 and more","$125,000 and more",NA,1
18401,7,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,4,"$100,000 to $ 124,999","$25,000 to $49,999",0,1
18402,8,Born in Canada,By birth,No,Not a visible minority,Divorced,3,Very good,4,"$50,000 to $74,999","$50,000 to $74,999",0,1
18403,8,Born outside Canada,By naturalization,NA,Visible minority,Married,7,Very good,3,"$100,000 to $ 124,999","Less than $25,000",0,0
18404,8,Born in Canada,By birth,No,Not a visible minority,Separated,4,Fair,1,"Less than $25,000","Less than $25,000",NA,1
18405,7,Born in Canada,By birth,No,Not a visible minority,Living common-law,6,Excellent,3,"$125,000 and more","$75,000 to $99,999",0,0
18406,8,Born in Canada,By birth,No,Not a visible minority,Married,2,Very good,3,"$100,000 to $ 124,999","$75,000 to $99,999",3,1
18407,10,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Good,5,"Less than $25,000","Less than $25,000",NA,0
18408,7,Born in Canada,By birth,No,Not a visible minority,Divorced,2,Fair,5,"Less than $25,000","Less than $25,000",NA,1
18409,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",3,Very good,3,"$125,000 and more","Less than $25,000",3,0
18410,10,Born in Canada,By birth,No,Visible minority,Married,3,Excellent,5,"$125,000 and more","$50,000 to $74,999",NA,0
18411,8,Born outside Canada,NA,NA,Visible minority,Married,6,Good,3,"$50,000 to $74,999","$25,000 to $49,999",NA,1
18412,7,Born outside Canada,By birth,No,Visible minority,"Single, never married",1,Good,4,"$75,000 to $99,999","Less than $25,000",4,0
18413,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,1,Very good,4,"$100,000 to $ 124,999","Less than $25,000",0,0
18414,10,Born in Canada,By birth,No,Not a visible minority,Married,4,Good,4,"$125,000 and more","Less than $25,000",NA,0
18415,4,Born in Canada,By birth,No,Not a visible minority,Married,6,Good,3,"$50,000 to $74,999","$50,000 to $74,999",NA,1
18416,10,Born in Canada,By birth,No,Not a visible minority,Married,3,Excellent,4,"$75,000 to $99,999","$25,000 to $49,999",NA,0
18417,7,Born outside Canada,By naturalization,NA,Visible minority,Divorced,2,Good,3,"$125,000 and more","$75,000 to $99,999",NA,1
18418,9,Born in Canada,By birth,No,Visible minority,"Single, never married",6,Very good,5,"$50,000 to $74,999","$50,000 to $74,999",2,1
18419,8,Born in Canada,By birth,No,Not a visible minority,Married,5,Very good,4,"$125,000 and more","$50,000 to $74,999",NA,1
18420,5,Born outside Canada,By naturalization,NA,Not a visible minority,Married,2,Fair,3,"$25,000 to $49,999","$25,000 to $49,999",NA,0
18421,10,Born in Canada,By birth,No,Not a visible minority,Divorced,6,Good,4,"$25,000 to $49,999","$25,000 to $49,999",NA,0
18422,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Poor,2,"Less than $25,000","Less than $25,000",NA,0
18423,10,Born outside Canada,By naturalization,NA,Not a visible minority,Married,4,Very good,4,"$50,000 to $74,999","$25,000 to $49,999",NA,1
18424,10,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Excellent,3,"$25,000 to $49,999","$25,000 to $49,999",NA,0
18425,9,Born in Canada,By birth,No,Not a visible minority,Widowed,2,Very good,5,"$75,000 to $99,999","$75,000 to $99,999",NA,1
18426,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,1,Good,5,"$25,000 to $49,999","Less than $25,000",NA,1
18427,8,Born in Canada,By birth,No,Not a visible minority,Married,5,Very good,4,"$125,000 and more","$100,000 to $ 124,999",NA,1
18428,10,Born in Canada,By birth,No,Not a visible minority,Married,6,Excellent,5,"$100,000 to $ 124,999","$75,000 to $99,999",4,1
18429,7,Born in Canada,By birth,Yes,Not a visible minority,"Single, never married",1,Poor,1,"Less than $25,000","Less than $25,000",NA,0
18430,5,Born in Canada,By birth,No,Not a visible minority,Divorced,3,Good,3,"$50,000 to $74,999","$50,000 to $74,999",NA,0
18431,8,Born in Canada,By birth,No,Not a visible minority,Married,4,Very good,4,"$75,000 to $99,999","$50,000 to $74,999",0,1
18432,7,Born outside Canada,By naturalization,NA,Not a visible minority,Married,3,Good,3,"$125,000 and more","Less than $25,000",NA,0
18433,7,Born outside Canada,By naturalization,No,Not a visible minority,Married,3,Good,4,"$125,000 and more","$100,000 to $ 124,999",NA,1
18434,7,Born in Canada,By birth,No,Not a visible minority,Married,6,Excellent,4,"$125,000 and more","Less than $25,000",0,0
18435,7,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Good,3,"Less than $25,000","Less than $25,000",NA,0
18436,7,Born outside Canada,By naturalization,NA,Visible minority,Married,3,Fair,1,"$75,000 to $99,999","$50,000 to $74,999",2,1
18437,9,Born outside Canada,By naturalization,No,Not a visible minority,Separated,3,Very good,4,"$100,000 to $ 124,999","$100,000 to $ 124,999",NA,1
18438,9,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Fair,4,"Less than $25,000","Less than $25,000",NA,1
18439,10,Born in Canada,By birth,No,Not a visible minority,Married,3,Excellent,4,"$25,000 to $49,999","Less than $25,000",NA,0
18440,10,Born outside Canada,By naturalization,NA,Visible minority,Married,6,Excellent,5,"$25,000 to $49,999","Less than $25,000",NA,1
18441,8,Born in Canada,By birth,No,Not a visible minority,Widowed,2,Fair,3,"$25,000 to $49,999","$25,000 to $49,999",NA,0
18442,8,Born outside Canada,By naturalization,NA,Visible minority,"Single, never married",3,Fair,5,"$50,000 to $74,999","$50,000 to $74,999",0,0
18443,8,Born in Canada,By birth,No,Not a visible minority,Married,3,Very good,4,"$125,000 and more","$75,000 to $99,999",0,1
18444,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Very good,4,"Less than $25,000","Less than $25,000",0,1
18445,9,Born in Canada,By birth,No,Not a visible minority,Married,2,Very good,4,"$100,000 to $ 124,999","$75,000 to $99,999",NA,0
18446,6,Born in Canada,By birth,No,Not a visible minority,Living common-law,6,Very good,2,"$100,000 to $ 124,999","Less than $25,000",3,0
18447,9,Born in Canada,By birth,No,Not a visible minority,"Single, never married",3,Excellent,4,"$25,000 to $49,999","$25,000 to $49,999",3,1
18448,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",5,Good,3,"$50,000 to $74,999","$50,000 to $74,999",0,0
18449,9,Born outside Canada,By naturalization,NA,Not a visible minority,Divorced,6,Very good,3,"$25,000 to $49,999","$25,000 to $49,999",NA,1
18450,8,Born outside Canada,NA,NA,Visible minority,Married,6,Good,5,"$125,000 and more","$100,000 to $ 124,999",0,1
18451,9,Born in Canada,By birth,No,Not a visible minority,Divorced,6,Excellent,5,"$50,000 to $74,999","$50,000 to $74,999",NA,0
18452,8,Born outside Canada,By naturalization,NA,Visible minority,Married,6,Good,4,"$50,000 to $74,999","$25,000 to $49,999",0,0
18453,8,Born in Canada,By birth,No,Not a visible minority,Married,2,Very good,3,"$125,000 and more","$50,000 to $74,999",NA,0
18454,8,Born in Canada,By birth,No,Not a visible minority,Married,6,Good,3,"$125,000 and more","$75,000 to $99,999",0,0
18455,9,Born in Canada,By birth,No,Not a visible minority,Married,2,Good,4,"$75,000 to $99,999","$25,000 to $49,999",NA,0
18456,10,Born in Canada,By birth,No,Not a visible minority,Married,1,Very good,5,"$50,000 to $74,999","Less than $25,000",NA,0
18457,9,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Excellent,5,"$50,000 to $74,999","$50,000 to $74,999",NA,1
18458,10,Born in Canada,By birth,No,Not a visible minority,Living common-law,2,Good,5,"$25,000 to $49,999","Less than $25,000",NA,0
18459,5,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Good,3,"$25,000 to $49,999","$25,000 to $49,999",NA,1
18460,9,Born in Canada,By birth,No,Not a visible minority,Married,1,Good,4,"$25,000 to $49,999","Less than $25,000",NA,1
18461,9,Born in Canada,By birth,No,Not a visible minority,Married,3,Very good,4,"$75,000 to $99,999","$25,000 to $49,999",NA,0
18462,7,Born in Canada,By birth,No,Visible minority,Married,3,Very good,3,"$100,000 to $ 124,999","Less than $25,000",0,0
18463,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,2,Good,4,"Less than $25,000","Less than $25,000",NA,1
18464,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,6,Very good,5,"$125,000 and more","$25,000 to $49,999",NA,0
18465,7,Don't know,Don't know,NA,Not a visible minority,Married,3,Good,5,"$25,000 to $49,999","Less than $25,000",NA,0
18466,8,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Good,4,"$125,000 and more","$125,000 and more",NA,0
18467,10,Born outside Canada,By naturalization,NA,Not a visible minority,Married,1,Good,5,"$100,000 to $ 124,999","$50,000 to $74,999",NA,1
18468,9,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Very good,3,"$50,000 to $74,999","Less than $25,000",NA,0
18469,8,Born outside Canada,NA,NA,Not a visible minority,Married,7,Very good,4,"$100,000 to $ 124,999","$25,000 to $49,999",2,0
18470,6,Born in Canada,By birth,Yes,Not a visible minority,Separated,2,Good,3,"$25,000 to $49,999","$25,000 to $49,999",0,1
18471,10,Born in Canada,By birth,No,Not a visible minority,Married,NA,Poor,5,"$50,000 to $74,999","$50,000 to $74,999",NA,1
18472,8,Born in Canada,By birth,No,Not a visible minority,Widowed,2,Fair,4,"$50,000 to $74,999","$50,000 to $74,999",NA,1
18473,9,Born in Canada,By birth,No,Not a visible minority,Married,3,Good,4,"$50,000 to $74,999","$25,000 to $49,999",NA,1
18474,9,Born in Canada,By birth,No,Not a visible minority,Widowed,5,Poor,5,"Less than $25,000","Less than $25,000",NA,0
18475,9,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Very good,5,"$75,000 to $99,999","$50,000 to $74,999",NA,1
18476,8,Born outside Canada,By naturalization,NA,Visible minority,Separated,7,Excellent,5,"$50,000 to $74,999","$50,000 to $74,999",2,1
18477,10,Born in Canada,By birth,No,Not a visible minority,Living common-law,2,Excellent,5,"$75,000 to $99,999","$25,000 to $49,999",3,0
18478,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",3,Good,3,"Less than $25,000","Less than $25,000",2,1
18479,8,Born in Canada,By birth,No,Not a visible minority,Married,2,Good,3,"$25,000 to $49,999","Less than $25,000",NA,0
18480,9,Born in Canada,By birth,No,Not a visible minority,Living common-law,2,Good,3,"$100,000 to $ 124,999","$75,000 to $99,999",0,1
18481,8,Born in Canada,By birth,No,Not a visible minority,Married,2,Very good,4,"$50,000 to $74,999","Less than $25,000",NA,0
18482,10,Born in Canada,By birth,No,Not a visible minority,Married,3,Very good,5,"$25,000 to $49,999","$25,000 to $49,999",0,0
18483,8,Born in Canada,By birth,No,Not a visible minority,Married,3,Good,4,"$75,000 to $99,999","$50,000 to $74,999",2,1
18484,9,Born outside Canada,By naturalization,NA,Not a visible minority,Living common-law,4,Very good,4,"$50,000 to $74,999","$50,000 to $74,999",NA,1
18485,9,Born outside Canada,By naturalization,NA,Visible minority,Married,3,Very good,4,"$100,000 to $ 124,999","$50,000 to $74,999",0,1
18486,9,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,5,"$25,000 to $49,999","Less than $25,000",NA,0
18487,9,Born in Canada,By birth,No,Visible minority,"Single, never married",5,Good,5,"$25,000 to $49,999","$25,000 to $49,999",2,1
18488,7,Born in Canada,By birth,No,Not a visible minority,Married,7,Very good,4,"$125,000 and more","$75,000 to $99,999",NA,0
18489,7,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,4,"$125,000 and more","$100,000 to $ 124,999",0,1
18490,8,Born in Canada,By birth,No,Not a visible minority,Married,2,Good,4,"$75,000 to $99,999","$50,000 to $74,999",NA,1
18491,6,Born outside Canada,By naturalization,No,Not a visible minority,Married,1,Fair,3,"$75,000 to $99,999","$25,000 to $49,999",NA,0
18492,9,Born in Canada,By birth,No,Not a visible minority,Married,3,Excellent,5,"$125,000 and more","$100,000 to $ 124,999",0,1
18493,9,Born in Canada,By birth,No,Not a visible minority,Divorced,6,Very good,5,"$50,000 to $74,999","$50,000 to $74,999",NA,0
18494,8,Born in Canada,By birth,No,Not a visible minority,Married,1,Very good,3,"$100,000 to $ 124,999","$50,000 to $74,999",0,1
18495,7,Born in Canada,By birth,No,Not a visible minority,Married,4,Fair,1,"$50,000 to $74,999","Less than $25,000",2,0
18496,8,Born in Canada,By birth,No,Not a visible minority,Married,7,Excellent,4,"$50,000 to $74,999","$25,000 to $49,999",NA,0
18497,8,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Poor,3,"Less than $25,000","Less than $25,000",NA,1
18498,9,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Excellent,5,"$125,000 and more","Less than $25,000",2,1
18499,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",5,Excellent,5,"$25,000 to $49,999","$25,000 to $49,999",NA,1
18500,10,Born in Canada,By birth,No,Not a visible minority,Married,1,Very good,4,"$75,000 to $99,999","Less than $25,000",NA,0
18501,5,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Fair,4,"$50,000 to $74,999","$50,000 to $74,999",0,0
18502,10,Born in Canada,By birth,Yes,Not a visible minority,"Single, never married",3,Excellent,1,"$25,000 to $49,999","Less than $25,000",2,0
18503,NA,Born outside Canada,By naturalization,NA,Visible minority,Married,7,Poor,1,"$100,000 to $ 124,999","$75,000 to $99,999",NA,0
18504,9,Born outside Canada,NA,No,Not a visible minority,Married,6,Excellent,5,"$75,000 to $99,999","Less than $25,000",2,0
18505,6,Born outside Canada,NA,NA,Visible minority,Married,6,Fair,1,"$100,000 to $ 124,999","$50,000 to $74,999",3,0
18506,8,Born in Canada,By birth,No,Not a visible minority,Married,1,Very good,3,"$50,000 to $74,999","Less than $25,000",NA,1
18507,9,Born in Canada,By birth,No,Not a visible minority,Living common-law,2,Very good,5,"$75,000 to $99,999","$25,000 to $49,999",0,0
18508,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,1,Very good,4,"$25,000 to $49,999","Less than $25,000",2,1
18509,6,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Very good,3,"$125,000 and more","Less than $25,000",0,0
18510,9,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,4,"$125,000 and more","$75,000 to $99,999",0,1
18511,10,Born in Canada,By birth,No,Not a visible minority,Divorced,2,Good,5,"$75,000 to $99,999","$75,000 to $99,999",NA,0
18512,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,2,Very good,5,"$75,000 to $99,999","Less than $25,000",0,0
18513,6,Born outside Canada,NA,NA,Don't know,"Single, never married",6,Very good,4,"$75,000 to $99,999","$75,000 to $99,999",0,0
18514,6,Born in Canada,By birth,No,Not a visible minority,Divorced,7,Very good,4,"Less than $25,000","Less than $25,000",NA,1
18515,2,Born in Canada,By birth,No,Not a visible minority,Widowed,2,Fair,3,"$75,000 to $99,999","$25,000 to $49,999",NA,1
18516,7,Born in Canada,By birth,No,Visible minority,"Single, never married",7,Very good,3,"$75,000 to $99,999","$75,000 to $99,999",NA,1
18517,8,Born in Canada,By birth,No,Not a visible minority,Divorced,5,Excellent,4,"$25,000 to $49,999","$25,000 to $49,999",NA,1
18518,8,Born in Canada,By birth,No,Not a visible minority,Married,4,Good,4,"$100,000 to $ 124,999","$25,000 to $49,999",NA,0
18519,10,Born in Canada,By birth,No,Not a visible minority,Married,7,Excellent,5,"$125,000 and more","$25,000 to $49,999",NA,0
18520,8,Born outside Canada,By naturalization,NA,Don't know,Living common-law,1,Very good,5,"$25,000 to $49,999","Less than $25,000",3,1
18521,7,Born in Canada,By birth,No,Not a visible minority,Living common-law,2,Good,5,"$75,000 to $99,999","$75,000 to $99,999",NA,1
18522,5,Born in Canada,By birth,No,Not a visible minority,Living common-law,2,Fair,3,"$75,000 to $99,999","$50,000 to $74,999",NA,1
18523,7,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Very good,4,"$25,000 to $49,999","$25,000 to $49,999",NA,0
18524,9,Born outside Canada,By naturalization,NA,Not a visible minority,Married,3,Good,3,"$75,000 to $99,999","$50,000 to $74,999",NA,1
18525,10,Born in Canada,By birth,Yes,Not a visible minority,Widowed,1,Very good,4,"$75,000 to $99,999","$75,000 to $99,999",NA,1
18526,7,Born outside Canada,By naturalization,NA,Visible minority,Separated,1,Fair,1,"Less than $25,000","Less than $25,000",NA,0
18527,6,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Good,1,"Less than $25,000","Less than $25,000",2,0
18528,8,Born in Canada,By birth,Yes,Not a visible minority,Widowed,3,Very good,5,"$50,000 to $74,999","$50,000 to $74,999",NA,1
18529,9,Born in Canada,By birth,No,Not a visible minority,Married,3,Excellent,5,"$50,000 to $74,999","Less than $25,000",NA,0
18530,8,Born in Canada,By birth,No,Not a visible minority,Divorced,6,Excellent,5,"$75,000 to $99,999","$75,000 to $99,999",NA,1
18531,10,Born outside Canada,By naturalization,NA,Not a visible minority,Widowed,7,Very good,3,"$75,000 to $99,999","$75,000 to $99,999",NA,0
18532,9,Born in Canada,By birth,No,Not a visible minority,Living common-law,7,Good,5,"$25,000 to $49,999","$25,000 to $49,999",NA,1
18533,8,Born outside Canada,By naturalization,NA,Visible minority,Widowed,3,Poor,5,"$25,000 to $49,999","$25,000 to $49,999",NA,0
18534,6,Born outside Canada,By naturalization,NA,Visible minority,Married,6,Very good,4,"$125,000 and more","$50,000 to $74,999",2,0
18535,10,Born in Canada,By birth,No,Not a visible minority,Married,3,Very good,3,"$125,000 and more","$25,000 to $49,999",0,1
18536,5,Born in Canada,By birth,No,Not a visible minority,Married,4,Good,3,"$100,000 to $ 124,999","$75,000 to $99,999",NA,1
18537,9,Born in Canada,By birth,No,Not a visible minority,Married,4,Good,3,"$50,000 to $74,999","$25,000 to $49,999",NA,1
18538,9,Born in Canada,By birth,No,Not a visible minority,Married,1,Very good,4,"$25,000 to $49,999","Less than $25,000",NA,0
18539,NA,Born in Canada,By birth,Yes,Not a visible minority,Widowed,1,Good,3,"Less than $25,000","Less than $25,000",NA,0
18540,9,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Excellent,5,"Less than $25,000","Less than $25,000",2,0
18541,10,Born outside Canada,NA,No,Not a visible minority,Married,7,Excellent,5,"$25,000 to $49,999","Less than $25,000",NA,0
18542,10,Born in Canada,By birth,No,Not a visible minority,Living common-law,3,Excellent,4,"$50,000 to $74,999","Less than $25,000",2,0
18543,7,Born outside Canada,By naturalization,NA,Not a visible minority,Widowed,2,Good,3,"$125,000 and more","$125,000 and more",NA,0
18544,10,Born in Canada,By birth,Yes,Not a visible minority,"Single, never married",3,Excellent,5,"$25,000 to $49,999","$25,000 to $49,999",NA,0
18545,9,Born outside Canada,By naturalization,NA,Not a visible minority,Married,3,Good,3,"$125,000 and more","$100,000 to $ 124,999",0,0
18546,8,Born in Canada,By birth,No,Not a visible minority,Married,3,Good,4,"$50,000 to $74,999","Less than $25,000",NA,1
18547,10,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Good,4,"$25,000 to $49,999","$25,000 to $49,999",NA,0
18548,10,Born outside Canada,By naturalization,No,Not a visible minority,Married,3,Excellent,5,"$25,000 to $49,999","$25,000 to $49,999",NA,1
18549,8,Born in Canada,By birth,No,Not a visible minority,Married,7,Very good,4,"$75,000 to $99,999","$50,000 to $74,999",NA,0
18550,10,Born in Canada,By birth,No,Not a visible minority,Married,1,Excellent,5,"$25,000 to $49,999","Less than $25,000",NA,0
18551,NA,Born in Canada,By birth,No,Not a visible minority,Married,6,Fair,1,"$50,000 to $74,999","Less than $25,000",NA,0
18552,9,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Excellent,5,"$50,000 to $74,999","$50,000 to $74,999",NA,0
18553,7,Born in Canada,By birth,No,Not a visible minority,Widowed,3,Very good,5,"$100,000 to $ 124,999","$100,000 to $ 124,999",NA,1
18554,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",5,Excellent,4,"Less than $25,000","Less than $25,000",0,0
18555,9,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Very good,4,"$125,000 and more","Less than $25,000",2,0
18556,7,Born outside Canada,By naturalization,NA,Visible minority,"Single, never married",3,Very good,3,"$100,000 to $ 124,999","Less than $25,000",2,0
18557,8,Born in Canada,By birth,No,Not a visible minority,Divorced,6,Good,4,"$50,000 to $74,999","$50,000 to $74,999",NA,0
18558,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",3,Very good,3,"Less than $25,000","Less than $25,000",NA,0
18559,10,Born outside Canada,NA,NA,Not a visible minority,Divorced,1,Very good,5,"$50,000 to $74,999","$50,000 to $74,999",NA,1
18560,6,Born in Canada,By birth,Yes,Not a visible minority,Married,1,Good,4,"$25,000 to $49,999","Less than $25,000",NA,0
18561,10,Born in Canada,By birth,No,Visible minority,"Single, never married",6,Excellent,4,"$125,000 and more","$75,000 to $99,999",3,1
18562,8,Born in Canada,By birth,No,Not a visible minority,Married,2,Fair,4,"$25,000 to $49,999","Less than $25,000",NA,1
18563,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",3,Good,5,"$50,000 to $74,999","$50,000 to $74,999",0,0
18564,10,Born in Canada,By birth,No,Not a visible minority,"Single, never married",3,Good,5,"$25,000 to $49,999","$25,000 to $49,999",NA,0
18565,6,Born in Canada,By birth,No,Not a visible minority,"Single, never married",4,Very good,3,"$25,000 to $49,999","$25,000 to $49,999",0,1
18566,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,4,Very good,4,"$125,000 and more","$25,000 to $49,999",NA,1
18567,5,Born in Canada,By birth,Yes,Not a visible minority,Divorced,3,Poor,5,"$25,000 to $49,999","Less than $25,000",NA,1
18568,10,Born in Canada,By birth,No,Not a visible minority,Widowed,4,Fair,3,"$50,000 to $74,999","$50,000 to $74,999",0,1
18569,7,Born in Canada,By birth,No,Not a visible minority,Living common-law,2,Fair,1,"$125,000 and more","$25,000 to $49,999",0,0
18570,8,Born in Canada,By birth,No,Not a visible minority,Divorced,7,Excellent,3,"$75,000 to $99,999","$75,000 to $99,999",0,0
18571,7,Born in Canada,By birth,No,Not a visible minority,Married,1,Good,3,"$75,000 to $99,999","Less than $25,000",0,0
18572,6,Born in Canada,By birth,No,Not a visible minority,Married,3,Very good,4,"$75,000 to $99,999","Less than $25,000",NA,0
18573,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Excellent,5,"$25,000 to $49,999","Less than $25,000",3,0
18574,9,Born in Canada,By birth,No,Not a visible minority,Married,5,Good,3,"$125,000 and more","$75,000 to $99,999",2,0
18575,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Good,4,"$50,000 to $74,999","$50,000 to $74,999",NA,1
18576,9,Born in Canada,By birth,No,Not a visible minority,Married,7,Good,4,"$125,000 and more","$50,000 to $74,999",0,0
18577,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Very good,5,"Less than $25,000","Less than $25,000",2,1
18578,8,Born in Canada,By birth,No,Not a visible minority,Married,3,Excellent,3,"$125,000 and more","$25,000 to $49,999",NA,0
18579,5,Born in Canada,By birth,No,Not a visible minority,Married,3,Very good,4,"$25,000 to $49,999","Less than $25,000",NA,0
18580,9,Born in Canada,By birth,No,Not a visible minority,Divorced,3,Excellent,5,"$25,000 to $49,999","$25,000 to $49,999",NA,0
18581,9,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,4,"$125,000 and more","$125,000 and more",0,1
18582,8,Born in Canada,By birth,No,Not a visible minority,Married,6,Excellent,4,"$125,000 and more","$25,000 to $49,999",NA,0
18583,10,Born in Canada,By birth,No,Not a visible minority,Married,4,Excellent,5,"$125,000 and more","$125,000 and more",NA,1
18584,8,Born in Canada,By birth,No,Not a visible minority,Married,2,Very good,4,"$50,000 to $74,999","$25,000 to $49,999",NA,1
18585,9,Born in Canada,By birth,No,Visible minority,"Single, never married",2,Excellent,5,"$25,000 to $49,999","$25,000 to $49,999",3,1
18586,8,Born in Canada,By birth,No,Not a visible minority,Married,1,Fair,3,"$25,000 to $49,999","$25,000 to $49,999",NA,1
18587,10,Born in Canada,By birth,No,Not a visible minority,Living common-law,3,Excellent,5,"$100,000 to $ 124,999","$50,000 to $74,999",0,1
18588,8,Born outside Canada,By naturalization,NA,Not a visible minority,Divorced,1,Very good,4,"$25,000 to $49,999","$25,000 to $49,999",NA,0
18589,8,Born in Canada,By birth,Yes,Not a visible minority,Living common-law,6,Fair,5,"$100,000 to $ 124,999","$25,000 to $49,999",NA,0
18590,5,Born in Canada,By birth,No,Not a visible minority,Widowed,5,Good,1,"Less than $25,000","Less than $25,000",NA,0
18591,10,Born in Canada,By birth,No,Not a visible minority,Married,2,Fair,4,"$75,000 to $99,999","$50,000 to $74,999",NA,1
18592,5,Born in Canada,By birth,No,Not a visible minority,Widowed,2,Fair,3,"Less than $25,000","Less than $25,000",NA,0
18593,2,Born in Canada,By birth,Yes,Not a visible minority,Living common-law,6,Poor,2,"$50,000 to $74,999","$50,000 to $74,999",NA,0
18594,8,Born outside Canada,NA,NA,Visible minority,Married,6,Good,4,"$50,000 to $74,999","Less than $25,000",0,1
18595,8,Born in Canada,By birth,No,Not a visible minority,Married,4,Very good,4,"$100,000 to $ 124,999","$50,000 to $74,999",2,1
18596,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,1,Good,3,"$100,000 to $ 124,999","$50,000 to $74,999",0,0
18597,10,Born in Canada,By birth,No,Not a visible minority,Married,3,Good,4,"$125,000 and more","$50,000 to $74,999",NA,0
18598,5,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Very good,4,"$50,000 to $74,999","$25,000 to $49,999",NA,1
18599,8,Born outside Canada,By naturalization,NA,Not a visible minority,Divorced,3,Fair,5,"Less than $25,000","Less than $25,000",NA,0
18600,8,Born in Canada,By birth,No,Not a visible minority,Married,2,Very good,4,"$50,000 to $74,999","Less than $25,000",NA,0
18601,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Very good,4,"Less than $25,000","Less than $25,000",2,1
18602,7,Born in Canada,By birth,No,Not a visible minority,Separated,1,Excellent,5,"$25,000 to $49,999","$25,000 to $49,999",NA,0
18603,10,Born in Canada,By birth,No,Not a visible minority,Divorced,5,Very good,4,"$75,000 to $99,999","$75,000 to $99,999",0,0
18604,10,Born in Canada,By birth,No,Visible minority,Living common-law,6,Very good,1,"$50,000 to $74,999","$50,000 to $74,999",2,1
18605,8,Born in Canada,By birth,Yes,Not a visible minority,Widowed,1,Good,4,"$75,000 to $99,999","$75,000 to $99,999",NA,0
